rank,average_score,sa_score,pc_score,joint_pass,caption,generated_video,generated_video_exists,reference_video_url,reference_model,all_reference_video_urls,key
1,5.0,5,5,True,"A paintbrush lightly touches a still-wet watercolor painting, leaving a barely visible impression on the surface.",/home/liuzhirui/model/PhysVid/res/videophy2/video/0d826ca817a504e643615ffde099676d846c5884162eb45b25acd8f2001785fb.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_paintbrush_lightly_touches_a_still-wet_watercolor_painting,_leaving_a_barely_visible_impression_on_the_surface.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_paintbrush_lightly_touches_a_still_wet_watercolor_painting__leaving_a_barely_visible_impression_on_the_surface_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_paintbrush_lightly_touches_a_still-wet_watercolor_painting,_leaving_a_barely_visible_impression_on_the_surface.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_paintbrush_lightly_touches_a_still-wet_watercolor_painting,_leaving_a_barely_visible_impression_on_the_surface.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_paintbrush_lightly_touches_a_still-wet_watercolor_painting,_leaving_a_barely_visible_impression_on_the_surface.mp4"", ""https://storage.cdn-luma.com/dream_machine/a2ce7ad2-3ae1-4b0d-b3df-5fcf4a48a8e2/0512cca5-6273-4535-9f9b-cb15613c14cf_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_paintbrush_lightly_touches_a_still-wet_watercolor_painting,_leaving_a_barely_visible_impression_on_the_surface.mp4""]",0d826ca817a504e643615ffde099676d846c5884162eb45b25acd8f2001785fb
2,5.0,5,5,True,A person carefully lifts a cardboard box filled with books; the books remain stacked and the box doesn't tilt.,/home/liuzhirui/model/PhysVid/res/videophy2/video/1de59e1ee52869c59798410b445c602d361100cf3a773249b8a5b5b10c898e36.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_carefully_lifts_a_cardboard_box_filled_with_books;_the_books_remain_stacked_and_the_box_doesn't_tilt.mp4,wan,"[""https://storage.cdn-luma.com/dream_machine/bda95656-92ce-4cdb-be0a-b0caa0d7e055/c950073d-7cd0-4bef-9b2f-509a48fd068f_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_carefully_lifts_a_cardboard_box_filled_with_books;_the_books_remain_stacked_and_the_box_doesn't_tilt.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_carefully_lifts_a_cardboard_box_filled_with_books;_the_books_remain_stacked_and_the_box_doesn't_tilt.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_carefully_lifts_a_cardboard_box_filled_with_books__the_books_remain_stacked_and_the_box_doesn_t_tilt_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_carefully_lifts_a_cardboard_box_filled_with_books;_the_books_remain_stacked_and_the_box_doesn't_tilt.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_carefully_lifts_a_cardboard_box_filled_with_books;_the_books_remain_stacked_and_the_box_doesn't_tilt.mp4""]",1de59e1ee52869c59798410b445c602d361100cf3a773249b8a5b5b10c898e36
3,5.0,5,5,True,"Two people walk side-by-side through a snowstorm, their bodies partially obscured by falling snow.",/home/liuzhirui/model/PhysVid/res/videophy2/video/2c5ec654038ad905b678315a99881f55494fa7e5941a84e37b26cc66578eb5f0.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Two_people_walk_side-by-side_through_a_snowstorm,_their_bodies_partially_obscured_by_falling_snow.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Two_people_walk_side-by-side_through_a_snowstorm,_their_bodies_partially_obscured_by_falling_snow.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Two_people_walk_side-by-side_through_a_snowstorm,_their_bodies_partially_obscured_by_falling_snow.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Two_people_walk_side-by-side_through_a_snowstorm,_their_bodies_partially_obscured_by_falling_snow.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Two_people_walk_side-by-side_through_a_snowstorm,_their_bodies_partially_obscured_by_falling_snow.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Two_people_walk_side_by_side_through_a_snowstorm__their_bodies_partially_obscured_by_falling_snow_.mp4"", ""https://storage.cdn-luma.com/dream_machine/ee75feeb-5fb2-4bd3-adca-2b5b4ef54628/aed66aaa-5212-4523-b42c-d51f1fa12bda_result.mp4""]",2c5ec654038ad905b678315a99881f55494fa7e5941a84e37b26cc66578eb5f0
4,5.0,5,5,True,"A canoeist uses a single-bladed paddle to propel their canoe across a lake, the paddle's movement visible against the still water.",/home/liuzhirui/model/PhysVid/res/videophy2/video/3d0a1acc1851d259587afc6e0af31d6ac0ada5f65d5163f9a4d33bad12c049d6.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_canoeist_uses_a_single-bladed_paddle_to_propel_their_canoe_across_a_lake,_the_paddle's_movement_visible_against_the_still_water.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_canoeist_uses_a_single-bladed_paddle_to_propel_their_canoe_across_a_lake,_the_paddle's_movement_visible_against_the_still_water.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_canoeist_uses_a_single-bladed_paddle_to_propel_their_canoe_across_a_lake,_the_paddle's_movement_visible_against_the_still_water.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/sora_hard_videophy2/Serenity+on+the+Lake.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_canoeist_uses_a_single-bladed_paddle_to_propel_their_canoe_across_a_lake,_the_paddle's_movement_visible_against_the_still_water.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_canoeist_uses_a_single-bladed_paddle_to_propel_their_canoe_across_a_lake,_the_paddle's_movement_visible_against_the_still_water.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_canoeist_uses_a_single_bladed_paddle_to_propel_their_canoe_across_a_lake__the_paddle_s_movement_visible_against_the_still_water_.mp4""]",3d0a1acc1851d259587afc6e0af31d6ac0ada5f65d5163f9a4d33bad12c049d6
5,5.0,5,5,True,"A person pours orange juice from a carton into a glass, creating a splash.",/home/liuzhirui/model/PhysVid/res/videophy2/video/54e4f1498bd71b0d2a36394d5ee2ee22ca7015eb821b8a67a9d3acb02831671e.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_pours_orange_juice_from_a_carton_into_a_glass,_creating_a_splash.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_pours_orange_juice_from_a_carton_into_a_glass__creating_a_splash_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_pours_orange_juice_from_a_carton_into_a_glass,_creating_a_splash.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_pours_orange_juice_from_a_carton_into_a_glass,_creating_a_splash.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_pours_orange_juice_from_a_carton_into_a_glass,_creating_a_splash.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_pours_orange_juice_from_a_carton_into_a_glass,_creating_a_splash.mp4"", ""https://storage.cdn-luma.com/dream_machine/e851195e-1ce8-4ab1-9019-1d60fcadf39f/11e8f144-ee02-4615-bcff-ab9c0de9ca58_result.mp4""]",54e4f1498bd71b0d2a36394d5ee2ee22ca7015eb821b8a67a9d3acb02831671e
6,5.0,5,5,True,"A person wades through a muddy puddle, their boots leaving deep footprints.",/home/liuzhirui/model/PhysVid/res/videophy2/video/6a72725045d5cd954cb3cf6bdf6544b7ee49e74874fff09666620d1c69c8e468.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_wades_through_a_muddy_puddle,_their_boots_leaving_deep_footprints.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_wades_through_a_muddy_puddle,_their_boots_leaving_deep_footprints.mp4"", ""https://storage.cdn-luma.com/dream_machine/944476f4-6231-4c58-aef3-d05adb1f04d2/7cdc3ce6-fdbb-4bee-bf01-d201b21d81d7_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_wades_through_a_muddy_puddle,_their_boots_leaving_deep_footprints.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_wades_through_a_muddy_puddle__their_boots_leaving_deep_footprints_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_wades_through_a_muddy_puddle,_their_boots_leaving_deep_footprints.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_wades_through_a_muddy_puddle,_their_boots_leaving_deep_footprints.mp4""]",6a72725045d5cd954cb3cf6bdf6544b7ee49e74874fff09666620d1c69c8e468
7,5.0,5,5,True,"Syrup is poured onto pancakes from a bottle, the syrup coating the surface.",/home/liuzhirui/model/PhysVid/res/videophy2/video/7fface4913242b7ff7d4f138a21e6e310aef85f97d66460dcb17273003425730.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Syrup_is_poured_onto_pancakes_from_a_bottle,_the_syrup_coating_the_surface.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Syrup_is_poured_onto_pancakes_from_a_bottle,_the_syrup_coating_the_surface.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Syrup_is_poured_onto_pancakes_from_a_bottle__the_syrup_coating_the_surface_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Syrup_is_poured_onto_pancakes_from_a_bottle,_the_syrup_coating_the_surface.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Syrup_is_poured_onto_pancakes_from_a_bottle,_the_syrup_coating_the_surface.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Syrup_is_poured_onto_pancakes_from_a_bottle,_the_syrup_coating_the_surface.mp4""]",7fface4913242b7ff7d4f138a21e6e310aef85f97d66460dcb17273003425730
8,5.0,5,5,True,A hoverboard with flashing LED lights drives through a dark tunnel with reflective walls.,/home/liuzhirui/model/PhysVid/res/videophy2/video/89350a7c741b65e08da42ed4db07f92627a70753ce641801377c8c94b15e10c1.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls.mp4,wan,"[""https://storage.cdn-luma.com/dream_machine/fb298789-b168-4a32-88ad-d05b8ba9d164/41d2709d-7dcf-41db-ad83-c508ca24b3a4_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_hoverboard_with_flashing_LED_lights_drives_through_a_dark_tunnel_with_reflective_walls_.mp4""]",89350a7c741b65e08da42ed4db07f92627a70753ce641801377c8c94b15e10c1
9,5.0,5,5,True,"A person wades through a swamp, their legs sinking slightly into the soft mud.",/home/liuzhirui/model/PhysVid/res/videophy2/video/b4391283d743b870211554d5f4228244dab1b13e768288f314405b309fa80136.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_wades_through_a_swamp,_their_legs_sinking_slightly_into_the_soft_mud.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_wades_through_a_swamp,_their_legs_sinking_slightly_into_the_soft_mud.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_wades_through_a_swamp,_their_legs_sinking_slightly_into_the_soft_mud.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_wades_through_a_swamp,_their_legs_sinking_slightly_into_the_soft_mud.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_wades_through_a_swamp__their_legs_sinking_slightly_into_the_soft_mud_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/sora_hard_videophy2/Swamp+Exploration+Adventure.mp4"", ""https://storage.cdn-luma.com/dream_machine/2c4a04c9-8de9-41ab-a937-1d88de5bf49a/5a6592f0-1a66-4620-bece-842a5bab42d6_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_wades_through_a_swamp,_their_legs_sinking_slightly_into_the_soft_mud.mp4""]",b4391283d743b870211554d5f4228244dab1b13e768288f314405b309fa80136
10,5.0,5,5,True,"Folded clothes are placed on shelves in a closet, creating neat rows of similar items.",/home/liuzhirui/model/PhysVid/res/videophy2/video/bb037bef514bb69b07636c76d7c3aed659bb1b0142e7030cb9f5feacd2586074.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Folded_clothes_are_placed_on_shelves_in_a_closet,_creating_neat_rows_of_similar_items.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Folded_clothes_are_placed_on_shelves_in_a_closet,_creating_neat_rows_of_similar_items.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Folded_clothes_are_placed_on_shelves_in_a_closet__creating_neat_rows_of_similar_items_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Folded_clothes_are_placed_on_shelves_in_a_closet,_creating_neat_rows_of_similar_items.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Folded_clothes_are_placed_on_shelves_in_a_closet,_creating_neat_rows_of_similar_items.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Folded_clothes_are_placed_on_shelves_in_a_closet,_creating_neat_rows_of_similar_items.mp4""]",bb037bef514bb69b07636c76d7c3aed659bb1b0142e7030cb9f5feacd2586074
